,ID,Name,lat,lon
110,8518962,Turkey_Point_Hudson_River_NERRS,42.01382100,-73.93890100
111,8518750,The_Battery,40.69952100,-74.01482300
112,8516945,Kings_Point,40.81030000,-73.76500000
113,8467150,Bridgeport,41.17498400,-73.18408000
114,8465705,New_Haven,41.28330000,-72.90830000
115,8461490,New_London__Thames_River,41.35500000,-72.08670000
116,8454049,Quonset_Point,41.58680000,-71.41100000
117,8454000,Providence,41.80673900,-71.39923400
118,8452944,Conimicut_Light,41.71670000,-71.34330000
119,8447386,Fall_River,41.70662300,-71.16634400
120,8779770,Port_Isabel,26.06488800,-97.16596700
121,8779280,Realitos_Peninsula,26.26240000,-97.28530000
122,8775792,Packery Channel,27.63330000,-97.23670000
123,8775296,USS_Lexington__Corpus_Christi_Bay,27.81490000,-97.38920000
124,8775244,Nueces_Bay,27.83280000,-97.48590000
125,8774770,Rockport,28.01874000,-97.04032900
126,8774230,Aransas_Wildlife_Refuge,28.21992200,-96.78161800
127,8773701,Port_O.Connor,28.44590000,-96.39560000
128,8773259,Port_Lavaca,28.64060000,-96.60980000
129,8773146,Matagorda_City,28.71010000,-95.91400000
130,8773037,Seadrift,28.38905900,-96.73192200
131,8771486,Galveston_Railroad_Bridge,29.30260000,-94.89710000
132,8771013,Eagle_Point__Galveston_Bay,29.48000000,-94.91830000
133,8770777,Manchester,29.72620000,-95.26580000
134,8770613,Morgans_Point__Barbours_Cut,29.68170000,-94.98500000
135,8770570,Sabine_Pass_North,29.72840000,-93.87010000
136,8770520,Rainbow_Bridge,29.97931500,-93.86424800
137,8770475,Port_Arthur,29.86710000,-93.93100000
138,8767961,Bulk_Terminal,30.19020000,-93.30080000
139,8767816,Lake_Charles,30.22411700,-93.22428200
140,8764044,Berwick__Atchafalaya_River,29.66750000,-91.23760000
141,8762483,I-10_Bonnet_Carre_Floodway,30.06790000,-90.39000000
142,8761927,New_Canal_Station,30.03033800,-90.11195400
143,8737138,Chickasaw_Creek,30.78190000,-88.07360000
144,8737048,Mobile_State_Docks,30.70830000,-88.04330000
145,8736897,Coast_Guard_Sector_Mobile,30.64802200,-88.05558800
146,8735523,East_Fowl_River_Bridge,30.44626600,-88.10895100
147,8735391,Dog_River_Bridge,30.56387400,-88.07995600
148,8726667,Mckay_Bay_Entrance,27.90789200,-82.43991700
149,8726607,Old_Port_Tampa,27.85780000,-82.55280000
150,9751364,Christiansted_Harbor__St_Croix,17.757623,-64.700063
151,9751401,Lime_Tree_Bay,17.688396,-64.752418
152,9751381,Lameshur_Bay__St_John,18.314380,-64.726305
153,9751639,Charlotte_Amalie,18.333981,-64.925040
154,9752235,Culebra,18.296784,-65.308208
155,9752619,Isabel_Segunda__Vieques_Island,18.155057,-65.446039
156,9752695,Esperanza__Vieques_Island,18.085513,-65.477127
157,9753216,Fajardo,18.337410,-65.625664
158,9754228,Yabucoa_Harbor,18.055100,-65.833000
159,9755371,San_Juan__La_Puntilla__San_Juan_Bay,18.459200,-66.116400
160,9757809,Arecibo,18.480500,-66.702400
161,9759110,Magueyes_Island,17.967985,-67.049295
162,9759394,Mayaguez,18.217321,-67.164045
163,9759938,Mona_Island,18.089900,-67.938500
